Restaurant ID,Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,Cuisines,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
3200032,Offside Lounge,1,Vadodara,"1st Floor, Kanchanganga Apartments, Near Bird Circle, Race Course Road, Vadiwadi, Vadodara","M Cube Mall, Vadiwadi","M Cube Mall, Vadiwadi, Vadodara",73.167753,22.308096,"Continental, Chinese, Mexican, North Indian",800,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,149
3200002,Gazebo Garden Restaurant,1,Vadodara,"Opposite FGI, Near Iscon Harmony, Sevasi-Bhimpura Road, Near Panchvati, Vadodara",Panchvati,"Panchvati, Vadodara",0,0,North Indian,1000,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,82
3200311,La Quello - Mediterranean Kitchen,1,Vadodara,"1, Trivia, Natu Bhai Circle, Race Course Road, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",73.15892089,22.31023696,"Mediterranean, Italian",1300,Indian Rupees(Rs.),No,No,No,No,3,4.6,Dark Green,Excellent,321
3200497,El Amigos Kitchen,1,Vadodara,"Ground Floor, Prestige Building, Race Course Road, Race Course Circle, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",73.165012,22.311603,"North Indian, Thai, Italian, Chinese, Mexican",800,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,96
3200560,Mr Toasties,1,Vadodara,"2/8 MIG Flats, Opposite Indraprastha Complex, Near LG Showroom, Inox Road, Ellora Park, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",0,0,Fast Food,300,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,50
3200269,The Yellow Chilli,1,Vadodara,"2nd Floor, 1-7, Sharnam Fortune, Opposite Inox Multiplex, Race Course Circle, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",0,0,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,243
3200590,Coffee Culture,1,Vadodara,"1-8, Opposite INOX Multiplex, Sharnam Fortune, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",0,0,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,92
3200537,Freshco - The Health Caf��,1,Vadodara,"Shop 2-3, Ground Floor, Opposite Natubhai Circle, Trivia Complex, Race Course, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",0,0,Cafe,700,Indian Rupees(Rs.),No,No,No,No,2,4.2,Green,Very Good,132
3200024,Pizza Hut,1,Vadodara,"51,Akashganga Complex,Race Course Road, Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",73.165081,22.311844,"Pizza, Italian",600,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,269
3200034,Tomato's,1,Vadodara,"1st Floor, Aditi Plaza, Beside IDBI Bank, Race Course Road,  ., Vadiwadi, Vadodara",Vadiwadi,"Vadiwadi, Vadodara",73.164798,22.311358,"North Indian, Mughlai, Mexican, Thai",1000,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,395
3900021,Open Hand Shop & Cafe,1,Varanasi,"B1/128-3, Dumraun Bagh Colony, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi",83.004504,25.287958,Cafe,450,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,59
3900059,Pizzeria Vaatika Cafe,1,Varanasi,"B-1/178, Assi Ghat, Varanasi",Assi Ghat,"Assi Ghat, Varanasi",83.006523,25.288447,"Pizza, Chinese",700,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,149
3900158,Aman Restaurant,1,Varanasi,"Boradway Hotel, Near IP Vijaya Mall, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi",0,0,"Chinese, North Indian",650,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average,60
3900007,Blue Lassi,1,Varanasi,"CK 12/1, Kachauri Gali Chowk, Near Rajbandhu Sweet, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi",0,0,Beverages,300,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,96
3900232,Kerala Cafe,1,Varanasi,"Bhelupur Crossing, Bhelupur, Varanasi",Bhelupur,"Bhelupur, Varanasi",0,0,South Indian,300,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,125
3900250,Baati Chokha,1,Varanasi,"Anand Mandir Cinema, Telibagh, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",0,0,North Indian,450,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,68
3900245,Deena Chat Bhandar,1,Varanasi,"D-47/184, Luxa Road, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",0,0,Street Food,0,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,78
3900004,Dosa Cafe,1,Varanasi,"D 15/49, Maan Mandir, Dashaswmedh Road, Varanasi",Dashaswmedh Road,"Dashaswmedh Road, Varanasi",83.010021,25.307589,South Indian,450,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,48
3900032,Kashi Chat Bhandar,1,Varanasi,"D-37/49, Godaulia, Varanasi",Godaulia,"Godaulia, Varanasi",82.971977,25.311385,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,4.1,Green,Very Good,158
3900058,Chrystal Bowl Restaurant,1,Varanasi,"34-B, Ravindra Puri, Near Lanka, Varanasi",Lanka,"Lanka, Varanasi",83.001801,25.290468,North Indian,800,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,96
3900070,Flavours Cafe,1,Varanasi,"1st Floor, Swastik Plaza, Near Ravidas Gate, BHU Road, Lanka, Varanasi",Lanka,"Lanka, Varanasi",82.999827,25.281437,"North Indian, Cafe",400,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,85
3900057,Ming Garden,1,Varanasi,"34-B, Ravindra Puri, Near Lanka,Varanasi",Lanka,"Lanka, Varanasi",82.982869,25.270943,Chinese,600,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,172
3900067,Burger King,1,Varanasi,"S 19/1 K, Mint House, Near Hotel Taj, Nai Bazar Cantt, Nadesar, Varanasi",Nadesar,"Nadesar, Varanasi",82.987294,25.334362,"North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,96
3900050,Tandoor Villa,1,Varanasi,"Near Sbi Atm, Main Road, Nadesar, Varanasi",Nadesar,"Nadesar, Varanasi",82.98929069,25.33290879,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,63
3900009,eastWEST - Radisson Hotel,1,Varanasi,"Radisson Hotel, The Mall Road, Nadesar, Varanasi","Radisson Hotel, Nadesar","Radisson Hotel, Nadesar, Varanasi",82.98081,25.338373,"Cafe, North Indian, Continental",600,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,34
3900010,The Great Kabab Factory - Radisson Hotel,1,Varanasi,"Radisson Hotel, The Mall Road, Nadesar, Varanasi","Radisson Hotel, Nadesar","Radisson Hotel, Nadesar, Varanasi",82.98081,25.338373,"North Indian, Mughlai",1100,Indian Rupees(Rs.),No,No,No,No,4,3.3,Orange,Average,67
3900055,I:ba Cafe & Restaurant,1,Varanasi,"B 3/335, Krimkund, Shivala, Varanasi",Shivala,"Shivala, Varanasi",0,0,"Japanese, American, North Indian, Fast Food",1000,Indian Rupees(Rs.),No,No,No,No,4,3.5,Yellow,Good,83
18346996,3Cherryz Sky Lounge & Cafe,1,Varanasi,"5th Floor Roof Top,(Above Big Bazaar) Sigra. Opp. IP Mall Sigra., Sigra, Varanasi",Sigra,"Sigra, Varanasi",82.99116335,25.31717627,"Cafe, North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,No,3,3.2,Orange,Average,26
18246202,VNS Live Studio,1,Varanasi,"Hotel Varuna Ground Floor, 22 Gulab Bagh, Sigra, Varanasi",Sigra,"Sigra, Varanasi",82.99169443,25.31834492,"Chinese, North Indian",0,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,109
3900238,Singh's Delight Restaurant,1,Varanasi,"1st Floor, Nath Complex, Beside Life Line Hospital, Sunderpur, Varanasi",Sunderpur,"Sunderpur, Varanasi",0,0,"Chinese, North Indian",700,Indian Rupees(Rs.),No,No,No,No,3,3.5,Yellow,Good,57
2800013,Pizza Hut,1,Vizag,"52-1-35,36&38, CMR Mall, New Resapavanipalem, Maddilapalem, Vizag","CMR Central Mall, Maddilapalem","CMR Central Mall, Maddilapalem, Vizag",83.31851111,17.73417778,"Pizza, Fast Food",600,Indian Rupees(Rs.),No,No,No,No,2,4.6,Dark Green,Excellent,289
2800012,Pizza Hut,1,Vizag,"Plot No 47- 10-23/3, 5th Floor, Isnar Khazana Towers, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30513889,17.72614722,"Pizza, Fast Food",600,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,230
2800294,Sri Sairam Parlour,1,Vizag,"Diamond Park, Railway New Colony Road, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30341389,17.72629722,"South Indian, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,4.2,Green,Very Good,270
2800903,Mekong - Hotel GreenPark,1,Vizag,"Hotel GreenPark, Waltair Main Road, Waltair Uplands, Vizag","Hotel GreenPark, Vizag","Hotel GreenPark, Vizag, Vizag",83.307073,17.715819,"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",1300,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good,73
2800052,The Square - Hotel Novotel,1,Vizag,"Hotel Novotel, Beach Road, Maharani Peta, Vizag","Hotel Novotel, Maharani Peta","Hotel Novotel, Maharani Peta, Vizag",83.315935,17.71069,"Continental, North Indian",1700,Indian Rupees(Rs.),No,No,No,No,4,4.1,Green,Very Good,125
2800095,Alpha Hotel,1,Vizag,"28-10-33/6, Jagdamba Commercial Complex, Chitralaya Cinema Hall, Jagadamba Junction, Visakhapatnam, Jagadamba Junction, Vizag",Jagadamba Junction,"Jagadamba Junction, Vizag",83.30161389,17.71202778,"North Indian, Biryani",300,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,240
2800856,Barbeque Nation,1,Vizag,"1st Floor, ATR Towers, Harbour Park Road,  Panduranga Puram, Near Harbour Park, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag",0,0,"North Indian, Chinese, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,345
2800911,Double Roti,1,Vizag,"Ground Floor, ATR Towers, Harbour Park Road, Pandurangapuram, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag",0,0,"Cafe, Fast Food, American",1000,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,27
2800757,Bake My Wish,1,Vizag,"4-70-4, Opposite NCC Canteen, Lawsons Bay, Vizag",Lawsons Bay,"Lawsons Bay, Vizag",0,0,Fast Food,450,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,175
2800096,Kamat Restaurant,1,Vizag,"Beach Road, Near Santhi Ashram, Lawsons Bay, Visakhapatnam",Lawsons Bay,"Lawsons Bay, Vizag",83.33809722,17.73480556,"Andhra, North Indian, Chinese, Seafood, Biryani",600,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,154
2800083,My Restaurant,1,Vizag,"HB Colony, Isukathota, National Highway 5, Besides Honda Showroom, Maddilapalem, Vizag",Maddilapalem,"Maddilapalem, Vizag",83.326859,17.740024,"Andhra, North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,124
18306045,Percolator Coffee House,1,Vizag,"RK Beach, Maharani Peta, Vizag Visakhapatnam., Maharani Peta",Maharani Peta,"Maharani Peta, Vizag",83.31983998,17.71266157,"Mughlai, Chinese, Cafe, BBQ, Cajun",500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,84
2800897,Tea Trails,1,Vizag,"7-5-82, Sea Shore Apartments, Southern Portion Cellar Floor, R K Beach Road, Maharani Peta, Vizag",Maharani Peta,"Maharani Peta, Vizag",0,0,Fast Food,500,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,57
18285610,Six Degrees,1,Vizag,"1-83-29, Opposite Pollock Lotus School, MVP Double Road, Sector 5, MVP Colony, Vizag",MVP Colony,"MVP Colony, Vizag",83.304558,17.726709,"South Indian, Chinese, Continental, Italian, North Indian",600,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,75
2800128,Sea Inn - Raju Gaari Dhaba,1,Vizag,"Beach Road, Opposite Cyclone Shelter ,   Visakhapatnam, Rushikonda, Vizag",Rushikonda,"Rushikonda, Vizag",83.38285833,17.78386944,"Biryani, Andhra",450,Indian Rupees(Rs.),No,No,No,No,2,4,Green,Very Good,169
2800100,D Cabana,1,Vizag,"Beach Road, Near Bus Stop, Sagar Nagar, Visakhapatnam",Sagar Nagar,"Sagar Nagar, Vizag",83.361377,17.764287,"Continental, Seafood, Chinese, North Indian, Biryani",600,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,193
2800418,Kaloreez,1,Vizag,"Plot 95, Opposite St. Lukes Nursing School, Daspalla Hills, Siripuram, Vizag",Siripuram,"Siripuram, Vizag",0,0,"Cafe, North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,2,3.7,Yellow,Good,85
2800881,Plot 17,1,Vizag,"Plot 17, Gangapur Layout, Siripuram, Vizag",Siripuram,"Siripuram, Vizag",83.31528135,17.7195395,"Burger, Pizza, Biryani",600,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,172
2800042,Vista - The Park,1,Vizag,"The Park, Beach Road, Pedda Waltair, Lawsons Bay, Visakhapatnam, Lawsons Bay, Vizag","The Park, Lawsons Bay","The Park, Lawsons Bay, Vizag",83.33684,17.721182,"American, North Indian, Thai, Continental",1500,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,74
2800019,Flying Spaghetti Monster,1,Vizag,"10-50-12/F2, Sai Dakshata Complex, Beside Lenovo Showroom,   Visakhapatnam, Waltair Uplands, Waltair Uplands, Vizag",Waltair Uplands,"Waltair Uplands, Vizag",83.31494167,17.72111944,Italian,1400,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good,316
18400530,Noah's Barn Coffeenery,94,Bandung,"Jl. Dayang Sumbi No. 2, Dago, Bandung",Dago,"Dago, Bandung",107.6127895,-6.887057501,"Cafe, Coffee and Tea, Western",150000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,22
7423620,Momo Milk,94,Bogor,"Jl. Kantor Pos No. 6, Bogor Timur, Bogor",Bogor Timur,"Bogor Timur, Bogor",106.8103014,-6.606916768,"Cafe, Desserts, Beverages",70000,Indonesian Rupiah(IDR),No,No,No,No,2,3.7,Yellow,Good,783
7423482,Lemongrass,94,Bogor,"Jl. Raya Pajajaran No. 21, Bogor Utara, Bogor",Bogor Utara,"Bogor Utara, Bogor",106.8078499,-6.576578026,"Peranakan, Indonesian",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4,Green,Very Good,1159
7422633,Talaga Sampireun,94,Jakarta,Jl. Lingkar Luar Barat,Cengkareng,"Cengkareng, Jakarta",106.7285083,-6.168466667,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1662
7405789,Toodz House,94,Jakarta,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta",Fatmawati,"Fatmawati, Jakarta",106.801782,-6.278012,"Cafe, Italian, Coffee and Tea, Western, Indonesian",165000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,1476
18425821,OJJU,94,Jakarta,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda","Gandaria City Mall, Gandaria","Gandaria City Mall, Gandaria, Jakarta",106.783162,-6.244221,Korean,200000,Indonesian Rupiah(IDR),No,No,No,No,3,3.9,Yellow,Good,137
7422751,Union Deli,94,Jakarta,"Grand Indonesia Mall, Lantai Ground, East Mall, Jl. MH Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.8197488,-6.197150016,"Desserts, Bakery, Western",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,903
7402935,Skye,94,Jakarta,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.821999,-6.196778,"Italian, Continental",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.1,Green,Very Good,1498
7410290,Satoo - Hotel Shangri-La,94,Jakarta,"Hotel Shangri-La, Jl. Jend. Sudirman","Hotel Shangri-La, Sudirman","Hotel Shangri-La, Sudirman, Jakarta",106.8189611,-6.203291667,"Asian, Indonesian, Western",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,873
18391256,MONKS,94,Jakarta,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading Blok ND1/51, Kelapa Gading, Jakarta",Kelapa Gading,"Kelapa Gading, Jakarta",106.9113346,-6.163947933,"Western, Asian, Cafe",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,259
7400818,Zenbu,94,Jakarta,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta","Kota Kasablanka, Tebet","Kota Kasablanka, Tebet, Jakarta",106.8425,-6.224333333,"Japanese, Sushi, Ramen",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,841
7420899,Sushi Masa,94,Jakarta,"Jl. Tuna Raya No. 5, Penjaringan",Penjaringan,"Penjaringan, Jakarta",106.800144,-6.101298,"Sushi, Japanese",500000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,605
18352452,Lucky Cat Coffee & Kitchen,94,Jakarta,"Plaza Festival, South Parking, Jl. HR Rasuna Said, Kuningan, Jakarta","Plaza Festival, Kuningan","Plaza Festival, Kuningan, Jakarta",106.8317481,-6.218932479,"Cafe, Western",300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,458
7421967,3 Wise Monkeys,94,Jakarta,"Jl. Suryo No. 26, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8134001,-6.235241091,Japanese,450000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,395
18370659,Flip Burger,94,Jakarta,"Jl. Senopati No. 27, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8085503,-6.23077495,Burger,120000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,410
7417455,Talaga Sampireun,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta","Taman Impian Jaya Ancol, Ancol","Taman Impian Jaya Ancol, Ancol, Jakarta",106.8335532,-6.12685982,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1640
18409146,Fish Streat,94,Jakarta,"Jl. Tanjung Duren Utara III, Blok M Kav. 32, Tanjung Duren, Jakarta",Tanjung Duren,"Tanjung Duren, Jakarta",0,0,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,3.4,Orange,Average,152
18408381,Fish Streat,94,Jakarta,"Jl. Tebet Timur Dalam Raya 44B, Tebet, Jakarta",Tebet,"Tebet, Jakarta",106.8564133,-6.232815715,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,4,Green,Very Good,331
7422489,Avec Moi Restaurant and Bar,94,Jakarta,"Gedung PIC, Jl. Teluk Betung 43, Thamrin, Jakarta",Thamrin,"Thamrin, Jakarta",106.821023,-6.19627,"French, Western",350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,243
18386856,Onokabe,94,Tangerang,"Alam Sutera Town Center, Jl. Alam Utama, Serpong, Tangerang","Alam Sutera Town Center, Serpong Utara","Alam Sutera Town Center, Serpong Utara, Tangerang",106.652688,-6.241792,Indonesian,300000,Indonesian Rupiah(IDR),No,No,No,No,3,3.7,Yellow,Good,155
7417450,Talaga Sampireun,94,Tangerang,"Jl. Boulevard Bintaro Jaya Blok B7/N1, Bintaro Sektor 7, Pondok Aren, Tangerang",Pondok Aren,"Pondok Aren, Tangerang",106.7261194,-6.269913889,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,2212
18251260,Kiss Kiss,148,Auckland,"1 Rocklands Avenue, Balmoral, Auckland",Balmoral,"Balmoral, Auckland",174.74808,-36.888662,Thai,40,NewZealand($),No,No,No,No,2,4.3,Green,Very Good,133
7000162,Giapo,148,Auckland,"12 Gore Street, Auckland CBD, Auckland",Britomart,"Britomart, Auckland",174.768851,-36.845553,"Ice Cream, Desserts",20,NewZealand($),No,No,No,No,1,4.7,Dark Green,Excellent,617
7001086,Milse,148,Auckland,"The Pavilions, 27 Tyler Street, Britomart, Auckland CBD, Auckland 1010",Britomart,"Britomart, Auckland",174.7686903,-36.84418841,Desserts,50,NewZealand($),No,No,No,No,3,4.9,Dark Green,Excellent,754
7003855,Orleans,148,Auckland,"Roukai Lane, 48 Custom Street East, Britomart, Auckland CBD, Auckland 1010",Britomart,"Britomart, Auckland",174.7695519,-36.8453314,American,65,NewZealand($),No,No,No,No,3,4.1,Green,Very Good,431
7000095,Depot Eatery and Oyster Bar,148,Auckland,"86 Federal Street, Auckland CBD, Auckland, 1010",Federal Street,"Federal Street, Auckland",174.762527,-36.848988,"Seafood, Kiwi",90,NewZealand($),No,No,No,No,4,4.8,Dark Green,Excellent,598
7003663,Federal Delicatessen,148,Auckland,"86 Federal Street, Auckland CBD, Auckland 1010",Federal Street,"Federal Street, Auckland",174.7622201,-36.84876968,"Cafe, American",60,NewZealand($),No,No,No,No,3,4.6,Dark Green,Excellent,696
18217279,Miann,148,Auckland,"57 Fort Street, Auckland Auckland CBD",Fort Street,"Fort Street, Auckland",174.768986,-36.84604966,Desserts,25,NewZealand($),No,No,No,No,1,4.9,Dark Green,Excellent,281
7005582,Little Sister Cafe,148,Auckland,"91 Central Park Drive, Henderson, Auckland",Henderson,"Henderson, Auckland",174.635633,-36.859341,Cafe,45,NewZealand($),No,No,No,No,3,4.5,Dark Green,Excellent,213
18419011,The Kimchi Project,148,Auckland,"20 Lorne Street, Auckland CBD, Auckland",Lorne Street,"Lorne Street, Auckland",174.765767,-36.85014119,"Asian Fusion, Cafe",90,NewZealand($),No,No,No,No,4,4.2,Green,Very Good,61
7001208,De Fontein Belgian Beer Cafe,148,Auckland,"75-79 Tamaki Drive, Mission Bay, Auckland",Mission Bay,"Mission Bay, Auckland",174.8320893,-36.84831519,European,100,NewZealand($),No,No,No,No,4,2.3,Red,Poor,402
7005979,Chinoiserie,148,Auckland,"4 Owairaka Avenue, Mt Albert, Auckland",Mt Albert,"Mt Albert, Auckland",174.7269883,-36.89398977,"Taiwanese, Street Food",50,NewZealand($),No,No,No,No,3,4.4,Green,Very Good,223
7000992,Eden Noodles Cafe �__·�_��_��_��,148,Auckland,"105 Dominion Road, Mt Eden, Auckland 1024",Mt Eden,"Mt Eden, Auckland",174.7524415,-36.87177949,Chinese,35,NewZealand($),No,No,No,No,2,4.3,Green,Very Good,212
7001660,Frasers,148,Auckland,"434 Mt Eden Road, Mt Eden, Auckland 1024",Mt Eden,"Mt Eden, Auckland",174.762234,-36.881213,"Cafe, European",60,NewZealand($),No,No,No,No,3,4,Green,Very Good,381
